Protocol,Filler_type,Scope,Answer
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,1
2,universal_quantifier_adjunct_with_modifier,isomorphic,0
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,1
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,0
2,universal_quantifier_adjunct_with_modifier,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,non_isomorphic,0
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,adjuct_island,isomorphic,1
2,universal_quantifier_modifier_2,non_isomorphic,1
2,universal_quantifier_modifier_2,non_isomorphic,1
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,non_isomorphic,0
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_modifier_2,isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,1
2,universal_quantifier_object_topic,non_isomorphic,0
2,universal_quantifier_object_topic,non_isomorphic,0
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,1
2,universal_quantifier_object_topic,isomorphic,0
2,universal_quantifier_object_topic,isomorphic,0
2,universal_quantifier_object_topic,isomorphic,0
2,universal_quantifier_object_topic,isomorphic,0
2,universal_quantifier_object_topic,isomorphic,0
2,collecive_subject_universal_object,non_isomorphic,1
2,collecive_subject_universal_object,non_isomorphic,1
2,collecive_subject_universal_object,non_isomorphic,1
2,collecive_subject_universal_object,non_isomorphic,1
2,collecive_subject_universal_object,non_isomorphic,1
2,collecive_subject_universal_object,non_isomorphic,1
2,collecive_subject_universal_object,non_isomorphic,1
